#SENTENCE ID	# VERB – LEMMA	# PART – LEMMA
a-tlg0060.tlg001-11.42.5-s9786-w0	εἶπον	δοκέω
a-tlg0008.tlg001-13.45-s14672-w0	εἶπον	γελάω
a-tlg0540.tlg001-1-50-s20929-w0	εἶπον	πράσσω
a-tlg0016.tlg001-1.214-s6992-w0	εἴρω	λέγω3
a-tlg0003.tlg001-1.131.1-s23564-w0	εἰσαγγέλλω	ἱδρύω
a-tlg0540.tlg001-1-50-s21032-w0	εἰσάγω	συνδειπνέω
a-tlg0016.tlg001-1.86.3-s6060-w0	εἰσέρχομαι	ἵστημι
a-tlg0016.tlg001-1.86.3-s6060-w0	εἰσέρχομαι	εἰμί
a-tlg0008.tlg001-12.75-s16609-w0	θύω1	πένομαι
a-tlg0003.tlg001-1.140.5-s23636-w0	καθίστημι	ἀπισχυρίζομαι
a-tlg0016.tlg001-1.178-s6707-w0	καθίστημι	γίγνομαι
a-tlg0543.tlg001-1.60-s12940-w0	καθίστημι	ἐκτείνω
a-tlg0543.tlg001-10.39.5-s28995-w0	καθυστερέω	γίγνομαι
a-tlg0003.tlg001-1.67.1-s23131-w0	καταβοάω	ἔρχομαι
a-tlg0003.tlg001-1.115.2-s23456-w0	καταβοάω	ἐλασσόω
a-tlg0003.tlg001-1.115.2-s23456-w0	καταβοάω	ἔρχομαι
a-tlg0060.tlg001-11.88.3-s10245-w0	κατά-κληρουχέω	ἔρχομαι
a-tlg0060.tlg001-11.66.4-s10018-w0	καταλιμπάνω	ἄρχω
a-tlg0008.tlg001-13.51-s14796-w0	καταλιμπάνω	ἀποθνήσκω
a-tlg0016.tlg001-1.130.1-s6410-w0	καταπαύω	βασιλεύω
a-tlg0003.tlg001-1.51.4-s23054-w0	καταπλέω	προσκομίζω
a-tlg0060.tlg001-11.78.4-s10145-w0	καταπράσσω	διαπολεμέω
a-tlg0540.tlg014-1-47-s26076-w0	καταψηφίζομαι	ἀναλογίζομαι
a-tlg0540.tlg014-1-47-s26076-w0	καταψηφίζομαι	ἐνθυμέομαι
a-tlg0008.tlg001-13.32-s14466-w0	κατεύχομαι	τελέω
a-tlg0540.tlg012-62-s21512-w0	κατηγορέω	κινδυνεύω
a-tlg0008.tlg001-12.68-s16531-w0	ἐκβάλλω	ποιέω
a-tlg0008.tlg001-12.68-s16531-w0	ἐκβάλλω	ὑπατεύω
a-tlg0540.tlg012-54-s21498-w0	ἐκβάλλω	ἔρχομαι
a-tlg0543.tlg001-1.70-s13042-w0	κινδυνεύω	ἀποθηριόω
a-tlg0016.tlg001-1.144.1-s6503-w0	ἐκκλείω	ἀνομέω
a-tlg0016.tlg001-1.212-s6979-w0	κορέννυμι	εἰμί
a-tlg0016.tlg001-1.22-s5593-w0	ἀκούω	ἐλπίζω
a-tlg0007.tlg004-9.2-s33562-w0	ἐκπίτνω	κυρόω
a-tlg0007.tlg004-11.1-s33580-w0	ἐκπίτνω	βάλλω
a-tlg0003.tlg001-1.9.4-s22792-w0	κρατέω	εἰμί
a-tlg0016.tlg001-1.92.4-s6130-w0	κρατέω	δίδωμι
a-tlg0543.tlg001-9.18.4-s26246-w0	κρατέω	συνεργέω
a-tlg0007.tlg015--s27379-w0	κρατέω	πάρειμι1
a-tlg0060.tlg001-11.89.6-s10262-w0	κρίνω	εἰμί
a-tlg0007.tlg004-5.2-s33511-w0	ἐκτήκω	ὑπάρχω
a-tlg0007.tlg015--s27256-w0	ἐκτρέχω	γίγνομαι
a-tlg0007.tlg015--s27256-w0	ἐκτρέχω	φοβέω
a-tlg0016.tlg001-1.112.3-s6269-w0	κυρέω	θνήσκω
a-tlg0543.tlg001-1.40-s12737-w0	κυριεύω	περιελαύνω
a-tlg0540.tlg023-5-s10-w0	λαγχάνω	πείθω
a-tlg0008.tlg001-13.89-s15368-w0	λαμβάνω	εἰμί
a-tlg0008.tlg001-12.26-s16028-w0	λέγω2	ὀνειδίζω
a-tlg0008.tlg001-12.74-s16602-w0	λέγω3	παρακαλέω
a-tlg0003.tlg001-1.85.3-s23282-w0	λέγω3	παρέρχομαι
a-tlg0003.tlg001-1.85.3-s23282-w0	λέγω3	εἰμί
a-tlg0008.tlg001-13.44-s14642-w0	λέγω3	ἀφικνέομαι
a-tlg0016.tlg001-1.122.2-s6350-w0	λέγω3	φημί
a-tlg0016.tlg001-1.141.4-s6484-w0	λέγω3	ἔχω
a-tlg0543.tlg001-1.61-s12947-w0	ὀλιγωρέω	καταφρονέω
a-tlg0543.tlg001-1.71-s13051-w0	ἐλπίζω	τρύω
a-tlg0543.tlg001-1.71-s13051-w0	ἐλπίζω	ἐπιτελέω
a-tlg0003.tlg001-1.143.5-s23668-w0	μάχομαι	κρατέω
a-tlg0007.tlg004-22.4-s33783-w0	μάχομαι	τάσσω
a-tlg0543.tlg001-1.45-s12782-w0	ἐμβάλλω	ἀναμίσγω
a-tlg0543.tlg001-1.45-s12782-w0	ἐμβάλλω	ἔχω
a-tlg0543.tlg001-1.45-s12782-w0	ἐμβάλλω	προσπίτνω
a-tlg0543.tlg001-1.48-s12813-w0	ἐμβάλλω	συστρέφω
a-tlg0007.tlg004-7.1-s33545-w0	ἐμβάλλω	καθίστημι
a-tlg0016.tlg001-1.155-s6559-w0	ἀμείβω	δείξω
a-tlg0543.tlg001-9.11.4-s26177-w0	ἀμελέω	εἰμί
a-tlg0543.tlg001-10.16.1-s28756-w0	μερίζω	ἀθροίζω
a-tlg0003.tlg001-1.140.1-s23626-w0	μεταποιέω	κατορθόω
a-tlg0008.tlg001-13.54-s14836-w0	μηνύω	ἐπιφαίνω
a-tlg0016.tlg001-1.35-s5700-w0	ἀμηχανάω	μένω
a-tlg0016.tlg001-1.135-s6450-w0	μίγνυμι	μανθάνω
a-tlg0016.tlg001-1.199-s6874-w0	μίγνυμι	ἵζω
a-tlg0007.tlg004-4.6-s33508-w0	ὁμιλέω	πλανάω
a-tlg0008.tlg001-13.52-s14811-w0	μιμνήσκω	λέγω3
a-tlg0003.tlg001-1.21.1-s22859-w0	ὑμνέω	κοσμέω
a-tlg0008.tlg001-12.72-s16574-w0	μνημονεύω	εἰμί
a-tlg0008.tlg001-13.22-s14312-w0	μνημονεύω	λέγω3
a-tlg0008.tlg001-13.31-s14448-w0	μνημονεύω	γράφω
a-tlg0008.tlg001-13.61-s14938-w0	μνημονεύω	λέγω2
a-tlg0008.tlg001-13.84-s15276-w0	μνημονεύω	λέγω3
a-tlg0003.tlg001-1.101.3-s23374-w0	ὁμολογέω	πολιορκέω
a-tlg0003.tlg001-1.101.3-s23374-w0	ὁμολογέω	ἀφίημι
a-tlg0008.tlg001-13.71-s15084-w0	ἐμπίπλημι	παύω
a-tlg0008.tlg001-12.70-s16556-w0	ἐμπνέω	τρίβω
a-tlg0060.tlg001-11.65.3-s10005-w0	ἀμφισβητέω	ἰσχύω
a-tlg0060.tlg001-11.65.3-s10005-w0	ἀμφισβητέω	ἰσχύω
a-tlg0007.tlg004-1.2-s33470-w0	ἀνακέομαι	γίγνομαι
a-tlg0008.tlg001-13.24-s14357-w0	ἀναμιμνήσκω	προσκινέομαι
a-tlg0016.tlg001-1.26-s5619-w0	ἀνατίθημι	πολιορκέω
a-tlg0016.tlg001-1.52-s5796-w0	ἀνατίθημι	πυνθάνομαι
a-tlg0003.tlg001-1.116.1-s23461-w0	ναυμαχέω	στρατηγέω
a-tlg0543.tlg001-10.16.4-s28761-w0	ἀναφέρω	ἀπομερίζω
a-tlg0007.tlg015--s27291-w0	ἐνδίδωμι	ἔχω
a-tlg0008.tlg001-12.66-s16516-w0	ὀνειδίζω	εἶπον
a-tlg0060.tlg001-11.6.3-s9383-w0	ἐν-εἰμί	καταπονέω
a-tlg0016.tlg001-1.1-s5464-w0	ὠνέομαι	ἵστημι
a-tlg0007.tlg015--s27342-w0	ἀνέχω	μεσόω
a-tlg0008.tlg001-12.58-s16396-w0	ἐν-ἀκολασταίνω	ὑβρίζω
a-tlg0008.tlg001-12.58-s16396-w0	ἐν-ἀκολασταίνω	λαμβάνω
a-tlg0008.tlg001-12.58-s16396-w0	ἐν-ἀκολασταίνω	ἵστημι
a-tlg0016.tlg001-1.186-s6771-w0	ἀνοικοδομέω	ἀποξηραίνω
a-tlg0008.tlg001-13.25-s14376-w0	ἀντεκκλέπτω	φυσιγγόομαι
a-tlg0060.tlg001-11.67.6-s10031-w0	ἀντέχω	συντάσσω
a-tlg0060.tlg001-11.13.2-s9466-w0	ἀντιπαρατάσσομαι	προσγίγνομαι
a-tlg0008.tlg001-12.50-s16280-w0	ἐνυφαίνω	ἐνίημι
a-tlg0543.tlg001-1.3-s12275-w0	ἐν-χειρέω	ὁρμέω
a-tlg0543.tlg001-1.45-s12775-w0	ἐν-χειρέω	πειθαρχέω
a-tlg0007.tlg015--s27223-w0	ἐξαιρέω	προίημι
a-tlg0540.tlg023-16-s45-w0	ἐξαρκέω	ἐρῶ
a-tlg0543.tlg001-9.35.7-s26428-w0	ἐξηγέομαι	ποιέω
a-tlg0008.tlg001-13.64-s14978-w0	ἀξιόω	ἀνακρίνω
a-tlg0540.tlg012-20-s21406-w0	ἀξιόω	μετοικέω
a-tlg0543.tlg001-1.81-s13173-w0	ἐξίστημι	ἀποθηριόω
a-tlg0543.tlg001-1.63-s12969-w0	οἶδα	μανθάνω
a-tlg0543.tlg001-1.88-s13248-w0	οἶδα	μανθάνω
a-tlg0008.tlg001-12.75-s16607-w0	ἔοικα	ὑπερπλουτέω
a-tlg0007.tlg004-8.4-s33557-w0	οἴομαι	δέω2
a-tlg0543.tlg001-1.15-s12406-w0	ἀπαγγέλλω	νικάω
a-tlg0543.tlg001-10.17.9-s28776-w0	ἐπαγγέλλω	χωρέω
a-tlg0007.tlg015--s27023-w0	παίζω	εἰμί
a-tlg0008.tlg001-12.12-s15858-w0	ἀπαλλάσσω	λέγω2
a-tlg0059.tlg001-urn:cts:greekLit:tlg0059.tlg001:1-s7437-w0	ἀπαλλάσσω1	μανθάνω1
a-tlg0016.tlg001-1.212-s6976-w0	ἐπαναπλέω	κάτειμι
a-tlg0543.tlg001-9.3.11-s26103-w0	ἀπαντάω	συμβαίνω
a-tlg0540.tlg001-1-50-s20981-w0	ἀπαντάω	δύω2
a-tlg0543.tlg001-1.25-s12528-w0	ἀπαντάω	σύν-εἶδον
a-tlg0543.tlg001-1.25-s12528-w0	ἀπαντάω	ἐπιστρέφω
a-tlg0543.tlg001-1.82-s13185-w0	παραβοηθέω	εἰμί
a-tlg0543.tlg001-1.45-s12783-w0	παραγγέλλω	θεωρέω
a-tlg0543.tlg001-1.50-s12834-w0	παραγγέλλω	θεωρέω
a-tlg0007.tlg004-14.4-s33639-w0	παραγεύω	εἰμί
a-tlg0008.tlg001-12.62-s16436-w0	παραγράφω	ὑπεραλγέω
a-tlg0003.tlg001-1.112.5-s23443-w0	παραδίδωμι	ἀποχωρέω
a-tlg0016.tlg001-1.45-s5752-w0	παραδίδωμι	ἵστημι
a-tlg0016.tlg001-1.45-s5752-w0	παραδίδωμι	λέγω3
a-tlg0016.tlg001-1.117.2-s6299-w0	παραδίδωμι	γίγνομαι
a-tlg0016.tlg001-1.117.4-s6306-w0	παραδίδωμι	ἐντέλλω
a-tlg0543.tlg001-9.5.2-s26112-w0	παραδίδωμι	διατρέπω
a-tlg0543.tlg001-9.5.2-s26112-w0	παραδίδωμι	ἀπό-ἐλπίζω
a-tlg0543.tlg001-9.42.1-s26501-w0	παραδίδωμι	ἀγωνίζομαι
a-tlg0543.tlg001-9.42.1-s26501-w0	παραδίδωμι	ἀπελπίζω
a-tlg0543.tlg001-10.38.3-s28980-w0	παραινέω	ἐντρέπω
a-tlg0543.tlg001-10.10.8-s28691-w0	παράκειμαι	προτείνω
a-tlg0540.tlg012-13-s21383-w0	παρακελεύομαι	προσέρχομαι
a-tlg0540.tlg012-13-s21383-w0	παρακελεύομαι	ἥκω
a-tlg0003.tlg001-1.25.3-s22890-w0	παραμελέω	εἰμί
a-tlg0543.tlg001-10.2.2-s28623-w0	παραπαίω	ἐξηγέομαι
a-tlg0008.tlg001-13.60-s14922-w0	παρά-σιτέω	εἰμί
a-tlg0543.tlg001-10.18.10-s28794-w0	παρασκευάζω	δεῖ
a-tlg0543.tlg001-1.18-s12448-w0	παρασκευάζω	προσφέρω
a-tlg0543.tlg001-1.21-s12482-w0	παρασκευάζω	κατεπείγω
a-tlg0543.tlg001-1.56-s12899-w0	παρασκευάζω	καταστρατοπεδεύω
a-tlg0016.tlg001-1.119.4-s6316-w0	πάρειμι1	γίγνομαι
a-tlg0543.tlg001-1.20-s12473-w0	παρέχω	εἰμί
a-tlg0543.tlg001-1.61-s12944-w0	παρέχω	συγκροτέω
a-tlg0007.tlg015--s27122-w0	παρέχω	σκώπτω
a-tlg0007.tlg015--s27308-w0	παρέχω	ἐπιφαίνω
a-tlg0543.tlg001-10.34.9-s28946-w0	ὑπάρχω	προκαταλαμβάνω
a-tlg0059.tlg001-urn:cts:greekLit:tlg0059.tlg001:1-s7141-w0	παύω1	ἔρχομαι1
a-tlg0543.tlg001-1.43-s12757-w0	πειθαρχέω	ὑποτάσσω
a-tlg0016.tlg001-1.77-s5985-w0	πειράω	ἔπειμι1
a-tlg0008.tlg001-13.5-s14032-w0	ἐπεισάγω	γαμέω
a-tlg0003.tlg001-1.91.3-s23313-w0	πέμπω	κελεύω
a-tlg0016.tlg001-1.155-s6564-w0	ἀπεῖπον	πέμπω
a-tlg0008.tlg001-12.20-s15969-w0	ὑπερβάλλω	φιλοπονέω
a-tlg0007.tlg015--s27053-w0	ὑπερβάλλω	ἀντωνέομαι
a-tlg0003.tlg001-1.15.1-s22833-w0	περιποιέω	προσέχω
a-tlg0543.tlg001-10.2.9-s28627-w0	περιποιέω	ὁρμάω
a-tlg0016.tlg001-1.8-s5507-w0	ὑπερτίθημι	ὑπερεπαινέω
a-tlg0007.tlg015--s27334-w0	ἐπέρχομαι	ἔχω
a-tlg0003.tlg001-1.20.2-s22856-w0	ἀπέχω	πρόοιδα
a-tlg0543.tlg001-10.32.9-s28926-w0	ἀπέχω	ἡγέομαι
a-tlg0543.tlg001-1.84-s13207-w0	ἀπέχω	καταπλήσσω
a-tlg0007.tlg004-9.3-s33567-w0	ἐπιβαίνω	εἰμί
a-tlg0543.tlg001-1.26-s12559-w0	ἐπιβάλλω	παρεκτείνω
a-tlg0008.tlg001-12.80-s16725-w0	ἐπιδείκνυμι	πάρειμι2
a-tlg0007.tlg015--s27174-w0	ἐπιθυμέω	ζάω
a-tlg0016.tlg001-1.60-s5839-w0	ἐπικηρυκεύομαι	περιελαύνω
a-tlg0543.tlg001-1.39-s12718-w0	ἐπικρατέω	ἐκχωρέω
a-tlg0543.tlg001-1.58-s12915-w0	ἐπικρατέω	διαγωνίζομαι
a-tlg0540.tlg012-85-s21560-w0	ἐπιμελέομαι	ἐνθυμέομαι
a-tlg0540.tlg014-1-47-s26015-w0	ἐπιμελέομαι	ἀπέρχομαι
a-tlg0543.tlg001-9.8.13-s26145-w0	ἐπιμέμφομαι	φάσκω
a-tlg0016.tlg001-1.12-s5544-w0	ἐπιμιμνήσκομαι	γίγνομαι
a-tlg0543.tlg001-1.24-s12517-w0	ἐπιπίπτω	ἀναστρατοπεδεύω
a-tlg0003.tlg001-1.50.3-s23046-w0	ἐπιπλέω	ἀθροίζω
a-tlg0007.tlg015--s27395-w0	ἐπιπλέω	πληρόω
a-tlg0007.tlg015--s27404-w0	ἐπιπλέω	προκαλέω
a-tlg0007.tlg015--s27431-w0	ἐπιρριπτέω	αἰσθάνομαι
a-tlg0007.tlg015--s27291-w0	ἀπιστέω	ξενοπαθέω
a-tlg0543.tlg001-1.19-s12453-w0	ἐπί-στρατοπεδεύω	γίγνομαι
a-tlg0543.tlg001-1.19-s12453-w0	ἐπί-στρατοπεδεύω	ἀπέχω
a-tlg0008.tlg001-12.38-s16128-w0	ἐπιτέρπομαι	ἐθέλω
a-tlg0543.tlg001-1.74-s13083-w0	ἐπιτίθημι	συστρέφω
a-tlg0543.tlg001-1.62-s12955-w0	ἐπιτρέπω	διαπέμπω
a-tlg0007.tlg015--s27007-w0	ἐπί-τροπεύω	προσήκω
a-tlg0016.tlg001-1.68-s5907-w0	ἐπιτυγχάνω	ὀρύσσω
a-tlg0016.tlg001-1.24-s5612-w0	ἐπιφαίνω	φημί
a-tlg0007.tlg004-9.5-s33571-w0	πλησιάζω	πίνω
a-tlg0007.tlg015--s27364-w0	ἀποβαίνω	κατάγω
a-tlg0543.tlg001-1.82-s13177-w0	ὑποβάλλω	εἰσανάγω
a-tlg0003.tlg001-1.134.4-s23583-w0	ἀποδίδωμι	εἰμί
a-tlg0003.tlg001-1.92-s23319-w0	ποιέω	ἀκούω
a-tlg0016.tlg001-1.38-s5723-w0	ποιέω	παρεῖδον
a-tlg0016.tlg001-1.38-s5723-w0	ποιέω	παρεῖδον
a-tlg0540.tlg001-1-50-s21013-w0	ποιέω	ἡγέομαι
a-tlg0540.tlg001-1-50-s21020-w0	ποιέω	οἶδα
a-tlg0543.tlg001-1.27-s12564-w0	ποιέω	νεύω
a-tlg0543.tlg001-1.66-s12996-w0	ποιέω	παρακαλέω
a-tlg0543.tlg001-1.11-s12348-w0	ἀποκλείω	καταστρατοπεδεύω
a-tlg0008.tlg001-12.69-s16549-w0	ἀπολαύω	συρρέω
a-tlg0007.tlg015--s27274-w0	ὑπολείπω	ἀφικνέομαι
a-tlg0008.tlg001-13.13-s14170-w0	ἀπομνημονεύω	λέγω3
a-tlg0016.tlg001-1.14-s5550-w0	ἀποπέμπω	τυραννεύω
a-tlg0003.tlg001-1.45.1-s23007-w0	ἀποστέλλω	ἀπέρχομαι
a-tlg0543.tlg001-1.22-s12492-w0	ὑποτίθημι	εἰμί
a-tlg0016.tlg001-1.209-s6962-w0	προδείκνυμι	ἐπιφέρω
a-tlg0007.tlg015--s27286-w0	προεῖπον	φθάνω
a-tlg0008.tlg001-13.12-s14165-w0	προθύω	κεῖμαι
a-tlg0007.tlg004-21.4-s33775-w0	προθύω	ἀναμιμνήσκω
a-tlg0059.tlg001-urn:cts:greekLit:tlg0059.tlg001:1-s7044-w0	προλέγω2	μέλλω1
a-tlg0008.tlg001-12.40-s16162-w0	προσάγω	οὐρέω
a-tlg0003.tlg001-1.68.3-s23140-w0	προσδέομαι	οἶδα
a-tlg0007.tlg015--s27086-w0	προσεισπράσσω	τίκτω
a-tlg0007.tlg015--s27086-w0	προσεισπράσσω	συντίθημι
a-tlg0008.tlg001-12.44-s16224-w0	προσέρχομαι	δέω2
a-tlg0007.tlg015--s27087-w0	προσέρχομαι	δίδωμι
a-tlg0060.tlg001-11.65.2-s10002-w0	προσέχω	τάσσω
a-tlg0543.tlg001-9.31.6-s26380-w0	προσέχω	βουλεύω
a-tlg0543.tlg001-1.25-s12537-w0	προσέχω	ἀναπλέω
a-tlg0543.tlg001-1.15-s12391-w0	πρόσ-κάθημαι	πολεμέω
a-tlg0060.tlg001-11.61.1-s9958-w0	προσκαταίρω	ἀρκέω
a-tlg0060.tlg001-11.61.1-s9958-w0	προσκαταίρω	εἰμί
a-tlg0008.tlg001-12.12-s15848-w0	πρόσ-κατέδω	χαίρω
a-tlg0060.tlg001-11.3.6-s9341-w0	προσλαμβάνω	πορεύω
a-tlg0003.tlg001-1.46.3-s23015-w0	προσμείγνυμι	πλέω
a-tlg0543.tlg001-10.17.11-s28779-w0	προσμείγνυμι	ἐκ-λέγω3
a-tlg0543.tlg001-9.36.7-s26443-w0	προσνέμω	παρακαλέω
a-tlg0543.tlg001-1.36-s12676-w0	προσπίτνω	συμβαίνω
a-tlg0003.tlg001-1.55.1-s23076-w0	προσποιέω	ἀναχωρέω
a-tlg0543.tlg001-1.16-s12412-w0	προστίθημι	παραγίγνομαι
a-tlg0543.tlg001-1.16-s12412-w0	προστίθημι	ἀφιστάω
a-tlg0007.tlg015--s27052-w0	προσφέρω	συνάγω
a-tlg0003.tlg001-1.74.4-s23202-w0	προσχωρέω	δείδω
a-tlg0003.tlg001-1.78.3-s23229-w0	ἅπτω	κακοπαθέω
a-tlg0540.tlg023-7-s15-w0	πυνθάνομαι	ἔρχομαι
a-tlg0543.tlg001-10.41.8-s29026-w0	ἐπώχατο	καραδοκέω
a-tlg0008.tlg001-13.61-s14933-w0	ἔραμαι	εἰμί
a-tlg0008.tlg001-13.25-s14358-w0	ἀργυρίζομαι	προίστημι
a-tlg0060.tlg001-11.73.2-s10091-w0	ἔργω1	ἀφίστημι
a-tlg0543.tlg001-1.12-s12362-w0	ἔρδω	πταίω
a-tlg0060.tlg001-11.88.6-s10252-w0	ὀρέγω	εἰμί
a-tlg0007.tlg015--s27123-w0	ἀρέσκω	εἰμί
a-tlg0060.tlg001-11.53.2-s9873-w0	ἄρχω	τελευτάω
a-tlg0016.tlg001-1.18-s5573-w0	ἄρχω	εἰσβάλλω
a-tlg0543.tlg001-10.31.7-s28903-w0	ἄρχω	περιστρατοπεδεύομαι
a-tlg0007.tlg015--s27423-w0	ἄρχω	δημοκρατέομαι
a-tlg0016.tlg001-1.43-s5748-w0	σημαίνω	ἀφικνέομαι
a-tlg0543.tlg001-10.49.6-s29122-w0	σημαίνω	γίγνομαι
a-tlg0540.tlg001-1-50-s21017-w0	σκέπτομαι	ἔρχομαι
a-tlg0060.tlg001-11.19.6-s9540-w0	στερέω	θαλασσοκρατέω
a-tlg0008.tlg001-12.11-s15830-w0	συγκατακλίνω	συναθροίζω
a-tlg0008.tlg001-13.63-s14968-w0	συγκοιμάομαι	ἀγανακτέω
a-tlg0016.tlg001-1.80.6-s6009-w0	συμβάλλω	ἀπό-θρῴσκω
a-tlg0543.tlg001-1.25-s12531-w0	συμβάλλω	γίγνομαι
a-tlg0543.tlg001-1.51-s12841-w0	συμβάλλω	ἀραρίσκω
a-tlg0543.tlg001-1.87-s13240-w0	συμβάλλω	παρατάσσω
a-tlg0016.tlg001-1.120.4-s6336-w0	συμβουλεύω	περί-σκέπτομαι
a-tlg0543.tlg001-9.25.5-s26308-w0	συμπάρειμι1	καταλαμβάνω
