Dep_Lemma	Head_Lemma	Count
1,052	وَصَل	1
1.00	سَاعَة	1
1.05	اِنخِفَاض	1
1.1	6.9	1
1.12	90	1
1.133	7	1
1.173	نُمُوّ	1
1.2	بِنَاء	2
1.3	بَلَغ	1
1.3	نِسبَة	1
1.34	كَمِّيَّة	1
1.35	وَصَل	1
1.36	بَلَغ	1
1.4	تَموِيل	1
1.5	244	1
1.5	بَلَغ	2
1.5	تَرَاوَح	1
1.5	تَوَسَّع	1
1.5	وَصَل	1
1.56	اِرتِفَاع	1
1.6	اِرتِفَاع	1
1.6	تَرَاوَح	1
1.7	1.6	1
1.7	بَلَغ	1
1.7	تَعَدَّى	1
1.7	حَدّ	1
1.7	صَادِر	1
1.8	قَصَر	1
1.8	مَا	1
1.806	اِرتِفَاع	1
1.85	تَرَاجَع	1
1.9	بَلَغ	2
1.942	12	1
10	03	1
10	10	1
10	1000	1
10	11	1
10	15	1
10	25	1
10	27	3
10	28	1
10	29	1
10	4	1
10	5	1
10	6	1
10	7	1
10	8	1
10	92	1
10	99	1
10	أَصبَح	1
10	أَقَلّ	1
10	أَكثَر	2
10	أُمِّيّ	1
10	إِجمَالِيّ	1
10	إِصَابَة	1
10	انقرة	1
10	اِرتَفَع	1
10	اِشتَبَه	1
10	اِكتِشَاف	1
10	اِنخِفَاض	1
10	بَالِغ	1
10	بَانكُوك	1
10	بَغدَاد	2
10	بَلَغ	1
10	بِكِين	3
10	تشونغتشينغ	1
10	تَجَاوَز	1
10	تَرَاجَع	1
10	تَرَاجُع	1
10	تَرَاوَح	1
10	تَعَادُل	1
10	تَوَزَّع	1
10	تُونِس	1
10	جري	1
10	حَدَّد	1
10	رَاوَح	1
10	رَصِيد	1
10	رِيَاض	2
10	سَاهَم	1
10	سَمَاح	1
10	شَانغهَاي	1
10	شَكَّل	1
10	صِحَّة	1
10	طَهرَان	1
10	عَانَى	1
10	عَقَد	2
10	عَمَّان	1
10	غزة	1
10	فَائِض	1
10	قَبض	1
10	قَلّ	2
10	قِيمَة	1
10	كونمينغ	1
10	مَا	1
10	مَثَّل	1
10	مَنَح	1
10	مُشَارَكَة	1
10	مُعَدَّل	1
10	مُقَرَّر	1
10	مُمَثِّل	1
10	مِسَاحَة	1
10	نِسبَة	2
10	هُوَ	3
10	وَصَل	1
10	يَوم	7
10.5	بتكاليف	1
10.5	لُبنَان	1
100	17	1
100	40	1
100	400	1
100	50	1
100	أَقَلّ	1
100	اِلتَقَى	1
100	بَالِغ	1
100	بَلَغ	3
100	تَجَاوَز	3
100	تَحَمَّل	1
100	رَأسمَال	2
100	زَاد	1
100	سِبَاق	10
100	سِعر	1
100	صَدَّر	1
100	عَثَر	1
100	عَلَى	1
100	عُمق	2
100	قِيمَة	1
100	كُلّ	1
100	مَبلَغ	1
100	مُرُور	1
100	نِسبَة	3
100	وُصُول	1
1000	أَكثَر	2
1000	تَجَاوَز	1
1000	فِئَة	1
101	بَاع	1
101	بَلَغ	1
101	لَعِب	1
101	نَشَوِيَّات	1
101.805	مَا	1
102	يَمَن	1
102.7	تَرَاجُع	1
1020	سَنَة	1
103	هُوَ	1
104	تَرَاجَع	1
105	اِرتَفَع	1
105	بَلَغ	1
1050	سَعَة	1
106	هُوَ	1
108	زَاد	1
1082	قَتَل	1
109	رَقم	1
1090	بَلَغ	1
10،00	سَاعَة	1
10،30	سَاعَة	4
10،5	قِيمَة	2
11	06	1
11	08	1
11	11	1
11	12	3
11	13	1
11	14	2
11	15	2
11	16	2
11	17	5
11	176	1
11	18	2
11	19	6
11	21	1
11	23	1
11	27	1
11	28	1
11	29	1
11	3	1
11	30	1
11	42	1
11	7	1
11	9	1
11	أَصبَح	1
11	أَقَام	1
11	أُردُنّ	1
11	اِستِثمَار	1
11	اِنخَفَض	1
11	اِنعَقَد	1
11	بوجوتا	1
11	بَقِي	1
11	بِكِين	1
11	تَوقِيت	1
11	تُونِس	1
11	حَدَث	1
11	حَصَل	1
11	خَسِر	1
11	دَورَة	1
11	دِي	1
11	رَصَد	1
11	زَار	1
11	صُعُوبَة	1
11	ضَبَط	1
11	عَرَض	1
11	عَمِل	1
11	عَين	1
11	فَاز	1
11	فِيِينَّا	1
11	قروض	1
11	قوانغتشو	1
11	قَام	1
11	قَسَم	1
11	قَلّ	1
11	قُطر	1
11	قِمَّة	1
11	كييف	1
11	مَا	3
11	مَدرِيد	1
11	هَجمَة	2
11	هُجُوم	1
11	يَوم	4
11.3	نِسبَة	1
11.4	نِسبَة	1
11.5	اِستَثمَر	1
110	اِختِطَاف	1
110	اِرتَفَع	1
110	هُنَاكَ	1
1100	اِرتِفَاع	1
1100	وَصَل	1
111	قَلَّص	1
112	أَقرَض	1
112	بَلَغ	1
1128	بَلَغ	1
113	سجنهما	1
113	سُقُوط	1
113	كَان	1
114	ص	1
115	110	1
115	114	1
115	بَيع	1
115	وَصَل	1
116	إِجلَاء	1
116	بَحَّارَة	1
116	فَرد	1
116	قَدَّم	1
116	وَجَد	1
118	قَدَّم	1
118	وَصَل	1
1180	1272	1
11800	خَسِر	1
119	نَمَا	1
12	1	2
12	10	4
12	11	2
12	13	1
12	14	1
12	18	1
12	182	1
12	2	2
12	24	1
12	26	2
12	27	1
12	28	1
12	3	4
12	30	2
12	4	1
12	44	1
12	5	1
12	5.5	1
12	6	3
12	7	1
12	88	1
12	أَقَلّ	1
12	إِجمَالِيّ	1
12	إِنَّ	1
12	اِستَحَقّ	1
12	اِستَضَاف	1
12	اِنتَشَل	1
12	بَلَغ	2
12	تَارِيخ	1
12	تَدمِير	1
12	تَرَاوَح	2
12	تَعَدَّى	1
12	ثَمَن	1
12	رَصِيد	1
12	زَاد	1
12	زَار	1
12	سِيتِي	1
12	شَارَك	1
12	شَهر	1
12	عَشَرَة	1
12	عَقَد	1
12	عُمق	1
12	غزة	1
12	قَتل	1
12	قَلّ	1
12	كَان	1
12	مُدَّة	1
12	مُعَدَّل	1
12	مُقَدَّم	1
12	مُوَقَّع	1
12	نَحو	1
12	نَشَر	1
12	نَفَّذ	1
12	هُوَ	1
12	وَصَل	1
12	وَقَّع	1
12	يَوم	3
12.2	دَوَاء	1
12.2	لَحم	1
12.8	جَاوَز	1
120	أَوقَع	1
120	بُوَيرَة	1
120	تَرَاجُع	1
120	حَقَّق	1
120	سَجَّل	1
120	عَقَد	1
120	قَدَّر	2
120	كَان	1
120	هُوَ	1
120.5	هُوَ	1
1200	تَدرِيب	1
1200	شَارَك	1
122.9	وَصَل	1
1224	1272	1
123	اِرتَفَع	1
123	لِيبِيَا	1
124	تَخصِيص	1
1246	بَلَغ	1
125	بَالِغ	1
126	قِيمَة	1
1264.6	قِيمَة	1
1272	كَان	1
128	قَتَل	1
12،00	سَاعَة	1
13	10	1
13	11	1
13	6	1
13	7	1
13	أَحرَز	1
13	أَكثَر	2
13	إِعلَان	4
13	اِرتِفَاع	1
13	اِنتَقَل	1
13	اِنتَهَى	1
13	بَارِيس	1
13	بَلَغ	1
13	بَيع	1
13	بُعد	1
13	تونس	1
13	تَجَاوَز	1
13	تَحصِيل	1
13	تَرَدَّد	1
13	تَزَوَّج	1
13	تَفوِيض	1
13	تَوطِين	1
13	رَاح	1
13	سَالَاس	1
13	سِعر	1
13	شَارَك	1
13	شَخص	1
13	عَائِد	1
13	قَدَّم	1
13	قِيمَة	1
13	كَان	1
13	لَعِب	1
13	مَا	1
13	مُؤتَمَر	1
13	مُستَوَى	1
13	نُقطَة	1
13	نِسبَة	1
13	هُوَ	1
13	وَصَل	1
13	يَوم	1
13.3	نِسبَة	1
13.9	بَالِغ	1
130	إِحبَاط	1
130	الرحلة	1
130	اِرتِفَاع	1
130	خَاض	1
1300	مداه	1
1300	وَصَل	3
131	مِليَار	1
131.03	418.6	1
132	مِسَاحَة	1
132	وَجَد	1
134	قَدَّر	1
134	نَشَوِيَّات	1
135	زَاد	1
135	نِصف	1
13600	اِتَّسَع	1
139	سَجَّل	1
13،00	سَاعَة	1
13،30	سَاعَة	1
14	13	2
14	أَطلَق	1
14	أَعلَن	1
14	أَكثَر	1
14	أَنفَق	2
14	أُردُنّ	1
14	اِقتَصَر	1
14	بيتو	1
14	بَاتِيستُوتَا	1
14	بَلَغ	2
14	بَينَ	1
14	بِكِين	1
14	تَرَاوَح	1
14	تَعَاوُن	1
14	تَوأَم	1
14	جَرَى	1
14	رَفع	1
14	زَاد	1
14	زِيَادَة	1
14	شَارَك	1
14	عِيَار	1
14	غَد	1
14	قَتَل	1
14	مَجمُوع	1
14	نِسبَة	2
14	هُوَ	1
14	وَصَل	2
14	يَوم	4
14.5	وَصَل	1
14.7	وَارِدَات	1
140	أَكثَر	2
140	اِرتِفَاع	1
140	زَاد	1
140	زِيَادَة	1
140	سِعر	2
140	مُستَوعِب	1
140	مِقدَار	2
1400	قِيمَة	1
142	حَقَّق	1
1425	سَنَة	1
1435	حَجم	1
144	2	1
144	بَلَغ	1
145	تَعَدَّى	1
147	قَدَّر	1
148	نِسبَة	1
1483	رَقم	1
14،30	نِيقُوسِيَا	1
15	08	1
15	10	1
15	3	1
15	31	1
15	40	1
15	4368	1
15	أَربِعَاء	1
15	أَشَار	1
15	أَكثَر	2
15	إِلَى	1
15	إِنهَاء	1
15	التايسك	1
15	اِبنَة	1
15	اِحتَفَظ	1
15	اِستَمَرّ	1
15	اِعتَمَد	1
15	اِعتِقَال	1
15	برُوكسِل	1
15	برِيزبَان	1
15	بَارِيس	2
15	بَالِيرمُو	1
15	بَغدَاد	4
15	بَقِي	1
15	بَلَغ	1
15	بَيرُوت	2
15	بُعد	1
15	بُودغُورِيتشَا	1
15	بِيتش	1
15	تَروِيج	1
15	تَرَاجَع	1
15	تَرَاوَح	1
15	تَضَخُّم	1
15	تَطَوُّر	1
15	تَلّ	1
15	تَمدِيد	1
15	تَمّ	1
15	ثُورمُونت	1
15	جَزَائِر	2
15	جِدَّة	1
15	حَجز	1
15	حَجَز	1
15	خَرطُوم	1
15	خُوسِيه	1
15	دَوحَة	1
15	دَولَة	1
15	دِمَشق	2
15	رفح	1
15	رُوستُوك	1
15	رُومَا	1
15	رِيَاض	2
15	زَار	1
15	سبيلبرغ	1
15	سليبتسوفسك	1
15	سوفا	1
15	سَاكرَامِنتُو	1
15	سَجن	2
15	سَحب	1
15	سَرَايِيفُو	1
15	شَكَّل	1
15	طَهرَان	6
15	طُوكِيُو	1
15	عمان	1
15	عَام	1
15	عَدّ	1
15	عَمَّان	2
15	غزة	1
15	غَزَّة	3
15	غُودِرمِيس	1
15	فشمار	1
15	فَترَة	1
15	قَاهِرَة	1
15	قَدَّر	2
15	قَدَّم	1
15	قَرُب	2
15	قَرَّر	1
15	قُدس	2
15	قُوَّة	1
15	قِيمَة	1
15	كييف	1
15	كَمِّيَّة	1
15	لَاغُوس	1
15	لَندَن	2
15	مَا	2
15	مُدَّة	2
15	مُوسكُو	5
15	مُونتُوبَان	1
15	مِئَة	1
15	مِقدَار	1
15	نَحو	1
15	نِيقُوسِيَا	5
15	نِيُودِلهِي	1
15	نِيُويُورك	1
15	هَرَارِي	1
15	هِلسِنكِي	1
15	وَاشِنطُن	4
15	وَاقِع	1
15	وَصَل	3
15	يَوم	3
15.2	خَفض	1
15.2	قَرِب	1
15.4	زِيَادَة	1
15.5	دَرَّس	1
15.7	اِنتَقَل	1
15.9	بَلَغ	1
150	1200	1
150	أَكثَر	4
150	اَلَّذِي	1
150	اِستِثمَار	1
150	بَعُد	1
150	بُعد	2
150	تَجَاوَز	3
150	تَسَلَّم	1
150	حَصَل	1
150	دَفَع	1
150	طَاقَة	1
150	عَدَد	1
150	كارديناس	1
150	كَان	1
150	مَجمُوعَة	1
150	مَقعَد	1
150	مُستَثمَر	1
1500	أَشَار	1
1500	غَرَامَة	1
1504	عَام	1
151	قِيمَة	1
151	نَقَل	1
1511	رَقم	1
151913	بَلَغ	1
153	5،1	1
153	زَاد	1
155	تَجَاوَز	1
1559	رَقم	1
1559	قَرَار	5
157.114	وَصَل	1
1580	بمساحة	1
159	إِلحَاق	1
15،00	22،30	1
16	09	1
16	10	1
16	11	1
16	16	1
16	80	1
16	إِف	1
16	إِقَامَة	1
16	إِهدَار	1
16	اِعتَبَر	1
16	اِنتَهَى	1
16	تَجَاوَز	1
16	جاكرتا	1
16	خُولُو	1
16	شَرق	1
16	شَمِل	1
16	شَوط	1
16	صَالِح	1
16	طَاقَة	1
16	طَلَب	1
16	عَاجِل	1
16	غَد	1
16	فَترَة	2
16	قَدَّر	1
16	مَا	1
16	مَثَّل	1
16	مُوسكُو	1
16	مِليَار	1
16	نَاشِئ	1
16	نِسبَة	2
16	وَاشِنطُن	1
16	يَوم	7
16.4	نِسبَة	1
16.5	مَبلَغ	1
16.8	اِرتِفَاع	1
16.8	وَصَل	1
16.9	اِنخِفَاض	1
160	600	1
160	975	1
160	اِستِثمَار	1
160	بَلَغ	1
160	دفلة	1
160	قِيمَة	1
160	كُلفَة	1
160	مُعَدَّل	1
160	هُوَ	1
1600	أَكثَر	1
1619	عَام	1
1621	وَصَل	1
1624	4	1
164	تَدمِير	1
165	سَجَّل	1
1657.4	قِيمَة	1
167	تَاجِر	1
17	19	2
17	25	1
17	5	1
17	إِفرَاج	1
17	العمرانى	1
17	اِستَمَرّ	1
17	بتكاليف	1
17	بَالِغ	1
17	بَلَغ	1
17	تَارِيخ	1
17	تَجَاوَز	1
17	تَرَاوَح	1
17	تَشَكَّل	1
17	تُونِس	1
17	حَدّ	1
17	زِيَادَة	1
17	طَالِبَة	1
17	فَتَح	1
17	قَدَّم	1
17	مَنع	1
17	نِسبَة	1
17	هُوَ	1
17	وَضع	1
17	يَوم	10
17.1	وَصَل	1
17.4	مَثَّل	1
17.5	وَصَل	1
170	تَلَقَّى	1
170	قِيمَة	1
1700	أَكثَر	1
1700	اِنقَطَع	1
1700	اِنقِطَاع	1
173	مَغرِب	1
174	اِنخِفَاض	1
175	سِعر	2
1750	دَفَع	1
176	شَهِد	1
1769.1	بَالِغ	1
177	مَطلُوب	1
178.8	اِنخَفَض	1
179	اِرتَفَع	1
179	قَتَل	1
17،00	21،00	1
17،00	21،30	1
18	09	1
18	14	3
18	17	1
18	46	1
18	أَبَاع	1
18	أَدرَج	1
18	أَصبَح	1
18	أَكثَر	1
18	اِستَمَرّ	1
18	اِعتِبَار	1
18	اِنخَفَض	1
18	حَيَاة	1
18	خَسِر	2
18	زَمَن	1
18	سَاعَة	1
18	سِنّ	2
18	شَهر	1
18	عَثَر	1
18	عَقَد	1
18	فَترَة	1
18	لَقِي	2
18	مَا	1
18	مُوَافَقَة	1
18	هُوَ	1
18	وَجَد	1
18	وَزَّع	1
18	يَوم	4
18.035	مَا	1
18.3	17.1	1
18.496	حَامِلَة	1
18.5	اِرتِفَاع	1
180	أَصل	1
180	أَكثَر	1
180	اِحتِوَاء	1
180	بَاع	1
180	بَلَغ	1
180	غُزُول	1
180.72	1.5	1
1800	بدا	1
1800	تَرَدُّد	1
1815	عَام	1
182	بَالِغ	1
182	بَيع	1
182	هُوَ	1
183	بَلَغ	1
183	تَقَدَّم	1
184.3	اِنخَفَض	1
185	إِجمَالِيّ	1
187	800	1
1880	عَام	1
1881	وَلَد	1
1882	عَام	1
1883	عَام	1
19	08	1
19	26	2
19	أَطَاح	1
19	اِرتِفَاع	1
19	اِستَضَاف	1
19	بَدَأ	1
19	بَلَغ	1
19	حَقَّق	1
19	زَاد	1
19	شَارَك	1
19	شَهِد	1
19	ضَمّ	1
19	عَشَرَة	1
19	فَترَة	1
19	قَرن	1
19	نَجَا	1
19	نِسبَة	1
19	وَصَل	1
19	يَوم	8
19.15	زِيَادَة	1
19.279	مَا	1
19.8	نِسبَة	1
190	948.2	1
190	أَكثَر	1
190	سُودَان	1
190	نِسبَة	1
1900	وَلَد	1
191	دَولَة	1
1911	خَرِيف	1
1914	أَيَّار	1
1919	ثَورَة	1
1919	عَام	1
1920	عَام	2
1923	عَام	1
1924	كَتَب	1
1926	دستور	1
1928	أَصدَر	1
1928	عَام	1
193	حُصُول	1
1932	عَام	1
1935	وَلَد	1
1939	وُصُول	1
194	بَلَغ	1
194	رَقم	1
1940	عَام	1
1941	هَاجَم	1
1945	عَام	2
1947	أَوَّل	1
1947	عَام	2
1948	أَقَام	1
1948	جَمَاعَة	1
1948	حَرب	1
1948	سَاكِن	1
1948	عَام	1
1949	إِعدَام	1
1950	اِستَمَرّ	1
1950	حَرب	1
1950	عَام	1
1951	عَام	1
1952	يُولِيُو	3
1953	1950	1
1953	اِستَمَرّ	1
1953	اِنقِلَاب	1
1956	حَرب	1
1956	عَام	1
196	تَرَاجَع	1
196	تَرَاجُع	1
1960	سَنَة	1
1960	عَام	1
1961	عَام	1
1967	أَقَام	1
1967	اِحتَلّ	1
1967	حَرب	1
1967	حَزِيرَان	1
1967	عَام	5
1967	مُحتَلّ	1
1967	هَزِيمَة	1
1967	يُونِيُو	3
1968	عَام	1
197	بَيع	1
1970	1960	1
1970	1968	1
1970	عَام	1
1971	سَنَة	1
1971	عَام	1
1972	عَام	1
1973	أُكتُوبِر	1
1973	حَرب	2
1973	عَام	3
1974	عَام	1
1975	حَرب	1
1975	دَفع	1
1975	سَنَة	2
1975	عَام	2
1976	دُخُول	1
1976	عَام	2
1978	تِشرِين	2
1978	عَام	1
1979	عَام	1
1979	قِيَام	1
198	بَلَغ	1
198.38	بَلَغ	1
1980	أَقَام	1
1980	اِنقِلَاب	1
1980	حَرب	1
1980	عَام	1
1980	كتاب	1
1981	عَام	1
1982	عَام	2
1982	عُدوَان	1
1983	عَام	2
1984	عَام	3
1985	24	1
1985	أَوَّل	1
1985	عَام	4
1986	تِشرِين	1
1986	عَام	1
1986	وَقَع	1
1987	سَنَة	1
1987	عَام	1
1988	1980	1
1988	عَام	1
1988	كَانُون	1
1989	النروج	1
1989	بدات	1
1989	عَام	1
199	سَنَة	1
1990	1504	1
1990	1975	2
1990	آب	3
1990	عَام	7
1991	1990	2
1991	حَرب	1
1991	سُقُوط	1
1991	عَام	5
1992	أَوَّل	1
1992	عَام	8
1992	فَترَة	1
1993	91	1
1993	عَام	6
1994	أَوَّل	1
1994	عَام	4
1994	مونديال	1
1995	بَدَأ	1
1995	شَهِد	1
1995	عَام	3
1995	قَائِم	1
1995	نَظَّم	1
1995	نُوفِمبِر	1
1996	1990	1
1996	آخِر	1
1996	آذَار	1
1996	أَيلُول	2
1996	طَلَاق	1
1996	عَام	7
1996	كَانُون	1
1996	نِهَايَة	2
1997	1996	1
1997	آب	1
1997	أَيَّار	1
1997	اِنتِخَاب	1
1997	سَنَة	2
1997	شَنّ	1
1997	عَام	7
1997	فَترَة	1
1997	يُونِيُو	1
1998	تَمُّوز	2
1998	تِشرِين	1
1998	سُقُوط	1
1998	عَام	14
1999	1997	1
1999	7	1
1999	آب	1
1999	أَبرِيل	1
1999	أَيلُول	1
1999	أَيَّار	1
1999	حَزِيرَان	2
1999	شُبَاط	1
1999	عَام	7
1999	لعام	1
1999	نِيسَان	3
19،9	أَصَاب	1
1،1	اِرتَفَع	1
1،1591	34	1
1،3	قُنبُلَة	2
1،30	سَاعَة	1
1،5	أَكثَر	1
1،5	تَعَرَّض	1
1،5	سَاوَى	1
1،9	أَكثَر	1
1،951	أَكثَر	1
2	02	1
2	1	2
2	10	2
2	11	1
2	14	1
2	15	1
2	16	1
2	18	2
2	19	3
2	20	2
2	21	1
2	22	1
2	23	3
2	24	4
2	25	1
2	26	1
2	27	2
2	28	2
2	29	3
2	3	4
2	32	1
2	33	1
2	34	1
2	38	1
2	45	1
2	55	1
2	6	18
2	60	1
2	7	1
2	75	1
2	79	1
2	8	1
2	81	1
2	أُوتَاوَا	1
2	اِجتِيَاح	1
2	اِنتَهَى	2
2	اِنخَفَض	1
2	اِنخِفَاض	1
2	اِنطَلَق	1
2	بارييس	1
2	بوجوتا	1
2	بيروت	2
2	بَارِيس	12
2	بَحَث	1
2	بَلَغ	2
2	تشالينجر	1
2	تَجَاوَز	2
2	تَقَدَّم	1
2	تَنَازَل	1
2	تُونِس	2
2	دَعَا	1
2	رَقم	1
2	رُومَا	1
2	رِيَاض	1
2	زَاد	1
2	سَام	1
2	سِيتِي	1
2	صفر	2
2	صَبَاح	1
2	صَدَر	1
2	عَائِد	1
2	عَمَّان	1
2	غزة	3
2	غَادَر	1
2	غَزَّة	1
2	فرَانس	1
2	فَاز	2
2	فَوز	4
2	فِيِينَّا	1
2	قَاهِرَة	1
2	قَرِب	1
2	قَطَر	1
2	قُدس	1
2	كييف	1
2	لَندَن	1
2	لِيُوبَارد	2
2	ماكوفي	1
2	مَدرِيد	1
2	هُوَ	2
2	وَاشِنطُن	1
2	وَصَل	1
2	يَوم	6
2.04	وَصَل	1
2.1	والبالغ	1
2.165	بَلَغ	1
2.186	اِرتَفَع	1
2.2	هُوَ	1
2.225	هُوَ	1
2.3	بَلَغ	1
2.5	1.8	1
2.5	406.5	1
2.5	إِنتَاج	1
2.5	بَلَغ	2
2.5	وَصَل	1
2.516	وَازَى	1
2.6	2.8	1
2.6	بَلَغ	1
2.6	خَفض	1
2.613	اِرتَفَع	1
2.7	نِسبَة	1
2.8	تَعَدَّى	1
2.8	زِيَادَة	1
2.8	وَصَل	1
2.86	بَلَغ	1
2.97	نِسبَة	1
20	09	1
20	10	2
20	12	2
20	15	1
20	18	3
20	19	1
20	24	1
20	26	2
20	40	1
20	55	1
20	8	1
20	أَتَاح	1
20	أَسكَن	1
20	أَكثَر	3
20	أَوقَف	1
20	إِيَاب	1
20	اِحتِيَاط	1
20	اِرتَفَع	1
20	اِنتِخَاب	1
20	بَلَغ	6
20	بُعد	1
20	بِنَاء	1
20	تَرخِيص	1
20	تَرَاوَح	1
20	تَرَك	1
20	تَعَدَّى	1
20	تَعَلَّق	1
20	تَمّ	1
20	ثَانِي	1
20	حَاجَة	1
20	حُضُور	1
20	حِيَازَة	1
20	دَخَل	1
20	دَقِيقَة	1
20	رَصِيد	1
20	رَفع	2
20	رَهِينَة	1
20	زَاد	2
20	زَار	1
20	سَقَط	1
20	صَادِر	1
20	طَرَح	2
20	عَاقَب	1
20	عَانَى	1
20	عَبَر	1
20	غَادَر	1
20	قَلّ	1
20	قِيمَة	1
20	مَبلَغ	1
20	مَثَّل	3
20	مَرحَلَة	1
20	مَقتَل	1
20	مَنَح	1
20	مُؤَلَّف	1
20	نَحو	1
20	نَشَوِيَّات	1
20	نَفَّذ	1
20	نِسبَة	3
20	هُوَ	1
20	وُصُول	1
20	يَوم	3
20.3	بَلَغ	1
20.5	اِرتَفَع	1
200	100	3
200	17	1
200	4	1
200	5	1
200	51	1
200	650	1
200	أَكثَر	2
200	اِرتِفَاع	1
200	بتكاليف	1
200	بَدَأ	1
200	بَيع	1
200	تَلَقَّى	1
200	حُضُور	1
200	دَعوَة	1
200	دَفَع	1
200	زِرَاعَة	1
200	زِيَادَة	1
200	سِبَاق	5
200	شَلَف	1
200	عَاش	1
200	قَرِب	1
2000	4	1
2000	آسِيَا	3
2000	أَكثَر	1
2000	أَمِيرِكَا	1
2000	تَمّ	1
2000	سِبتَمبِر	1
2000	عَام	12
2000	كَانُون	1
2000	يُونِيُو	1
2001	351	1
2001	أُكتُوبِر	1
2001	حُزَيرَان	1
2001	دِيسَمبِر	1
2001	عَام	13
2001	فَترَة	1
2001	مونديال	2
2001	يُونِيُو	1
2002	11	1
2002	2001	3
2002	2003	1
2002	26	1
2002	6	1
2002	75	1
2002	أَيلُول	1
2002	دِيسَمبِر	4
2002	سَنَة	3
2002	عَام	47
2002	فَترَة	1
2002	فِبرَايِر	1
2002	قِيَام	1
2002	كَأس	1
2002	لمونديال	1
2002	مونديال	3
2002	مَا	2
2002	مَايُو	1
2002	مُنتَصَف	1
2002	مُوندِيَال	1
2002	نُوفِمبِر	2
2003	11	1
2003	18	1
2003	2002	3
2003	بَلَغ	1
2003	دِيسَمبِر	3
2003	سِبتَمبِر	2
